Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt,Matches
231,Kamaljit Singh,in IND,GK,East Bengal,26,1995,17,0,0,0,,0,0,0,0,,0,0,Matches
232,Karanjit Singh,in IND,GK,Kerala Blasters,36,1986,2,0,0,0,,0,0,0,0,,0,0,Matches
233,Konsham Singh,in IND,DF,Hyderabad FC,25,1996,11.8,1,1,1,100,0.09,0.09,1,1,,0,0,Matches
234,Manvir Singh,in IND,"MF,FW",Mohun Bagan,26,1995,12.4,2,17,4,23.5,1.37,0.32,0.12,0.5,,0,0,Matches
235,Mehtab Singh,in IND,DF,Mumbai City,24,1998,18.4,1,7,2,28.6,0.38,0.11,0.14,0.5,,0,0,Matches
236,Naorem Singh,in IND,"MF,FW",East Bengal,23,1999,16.9,2,14,5,35.7,0.83,0.3,0.14,0.4,,0,0,Matches
237,Phijam Singh,in IND,MF,Jamshedpur,19,2003,2.3,0,2,0,0,0.87,0,0,0,,0,0,Matches
238,Prabhsukhan Singh,in IND,GK,Kerala Blasters,21,2001,18,0,0,0,,0,0,0,0,,0,0,Matches
239,Reagan Singh,in IND,DF,Hyderabad FC,31,1991,2.3,0,1,0,0,0.43,0,0,0,,0,0,Matches
240,Roshan Singh,in IND,"MF,FW",Bengaluru,23,1999,18.9,0,19,7,36.8,1.01,0.37,0,0,,0,0,Matches
241,Sandeep Singh,in IND,DF,Kerala Blasters,27,1995,8.9,1,8,2,25,0.9,0.22,0.13,0.5,,0,0,Matches
242,Gurpreet Singh Sandhu,in IND,GK,Bengaluru,30,1992,20,0,0,0,,0,0,0,0,,0,0,Matches
243,Sehnaj Singh,in IND,MF,NorthEast Utd,29,1993,0.6,0,0,0,,0,0,0,0,,0,0,Matches
244,Soraisam Singh,in IND,DF,East Bengal,26,1995,1,0,0,0,,0,0,0,0,,0,0,Matches
245,Suresh Singh,in IND,MF,Bengaluru,21,2000,16,0,8,2,25,0.5,0.13,0,0,,0,0,Matches
246,Boris Singh Thangjam,in IND,"MF,FW",Jamshedpur,22,2000,17,2,23,9,39.1,1.35,0.53,0.09,0.22,,0,0,Matches
247,Thoiba Singh,in IND,"MF,DF",Odisha,19,2002,18.4,0,15,2,13.3,0.81,0.11,0,0,,0,0,Matches
248,Tondonba Singh,in IND,DF,NorthEast Utd,27,1994,6.2,0,0,0,,0,0,0,0,,0,0,Matches
